inheritor_id,project_id,province,city,category_cn,inheritor_project_name,matched_project_name,match_tier,fuzzy_score,candidate_count,matched_alias,name_similarity_ratio,audit_judgment,false_positive,judgment_note
20759,19613.0,浙江省,绍兴市,传统技艺,青口杨氏皮纸制作技艺,传统造纸技艺（青口皮纸制作技艺、龙游宣纸制作技艺、千洪桃花纸与宣纸制作技艺、开化贡纸制作技艺、顾家溪手工造纸技艺）,fuzzy_exact_alias_unique,,1,青口皮纸制作技艺,0.23880597014925373,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
14297,14053.0,山西省,太原市,民俗,保德九曲黄河阵灯会,九曲黄河阵（平顺转九曲）（保停九曲黄河阵灯会）（左权長河南村黄河阵）（榆杜“九曲黄河灯阵”）,fuzzy_ambiguous_assigned_first,,3,保停九曲黄河阵灯会,0.2909090909090909,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
14942,14036.0,山西省,长治市,传统技艺,襄子老粗布织造技艺,传统棉纺织技艺（襄子老租布织造技艺）（平顺手工纺织技艺）（丁村民间传统棉纺技艺）,fuzzy_exact_alias_unique,,1,襄子老租布织造技艺,0.32653061224489793,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
15821,14883.0,陕西省,西安市,传统技艺,茯砖茶制作技艺,砖茶制作技艺（泾阳砖茶制作技艺、茯苓茶制作技艺）,fuzzy_exact_alias_unique,,1,砖茶制作技艺,0.3870967741935484,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
4899,4796.0,海南省,五指山市,传统技艺,黎族纺染织绣技艺,黎族传统纺染织绣技艺（含麻纺织、拼染、双面绣、龙被织造）,fuzzy_exact_alias_unique,,1,黎族传统纺染织绣技艺,0.4444444444444444,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
15155,13680.0,山西省,忻州市,传统舞蹈,踢鼓子秧歌（五寨八大角秧歌）,踢鼓秧歌,fuzzy_ambiguous_assigned_first,,4,踢鼓秧歌,0.4444444444444444,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
4890,4796.0,海南省,乐东黎族自治县,传统技艺,黎族纺染织绣技艺,黎族传统纺染织绣技艺（含麻纺织、拼染、双面绣、龙被织造）,fuzzy_exact_alias_unique,,1,黎族传统纺染织绣技艺,0.4444444444444444,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
21166,19851.0,浙江省,金华市,传统技艺,义乌红曲传统制作技艺,红曲传统制作技艺（义乌红曲、乌衣红曲）,fuzzy_exact_alias_unique,,1,红曲传统制作技艺,0.5517241379310345,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
17887,16731.0,天津市,不统计,传统美术,东丰台木版年画,杨柳青木版年画（含东丰台木版年画）,fuzzy_exact_alias_unique,,1,含东丰台木版年画,0.5833333333333334,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
17745,16731.0,天津市,不统计,传统美术,东丰台木版年画,杨柳青木版年画（含东丰台木版年画）,fuzzy_exact_alias_unique,,1,含东丰台木版年画,0.5833333333333334,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
17832,16853.0,天津市,不统计,民间文学,杨家将传说（杨七郎墓传说）,杨七郎墓的传说,fuzzy_exact_alias_unique,,1,杨七郎墓的传说,0.6,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
18419,17447.0,西藏自治区,那曲市,传统技艺,牛毛帐篷编制技艺（中扎牛毛帐篷编制技艺）,申扎牛毛帐篷编制技艺,fuzzy_exact_alias_unique,,1,申扎牛毛帐篷编制技艺,0.6,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
7159,5889.0,河南省,信阳市,传统技艺,绿茶制作技艺（信阳毛尖茶制作技艺）,信阳毛尖茶采制技艺,fuzzy_exact_alias_unique,,1,信阳毛尖茶采制技艺,0.6153846153846154,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
20365,18952.0,浙江省,温州市,传统戏剧,泰顺药发木偶,木偶戏（泰顺药发木偶戏）,fuzzy_ambiguous_assigned_first,,2,泰顺药发木偶戏,0.6666666666666666,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
1405,1173.0,福建省,莆田市,民俗,元宵节（枫亭元宵游灯习俗）,仙游枫亭元宵游灯习俗,fuzzy_exact_alias_unique,,1,仙游枫亭元宵游灯习俗,0.6956521739130435,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
6484,6051.0,河南省,焦作市,传统技艺,怀府闹汤驴肉制作技艺,闹汤驴肉制作技艺,fuzzy_exact_alias_unique,,1,闹汤驴肉制作技艺,0.8888888888888888,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
19502,18024.0,云南省,怒江傈僳族自治州,传统音乐,傈僳族民歌,傈族民歌,fuzzy_exact_city_disambiguated,,1,傈族民歌,0.8888888888888888,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
16599,15407.0,上海市,不统计,传统技艺,上海民族乐器制作技艺,民族乐器制作技艺,fuzzy_exact_alias_unique,,1,民族乐器制作技艺,0.8888888888888888,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
10027,9086.0,江苏省,徐州市,传统戏剧,徐州梆子,徐州梆子戏,fuzzy_exact_alias_unique,,1,徐州梆子戏,0.8888888888888888,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
18001,17177.0,西藏自治区,拉萨市,传统技艺,尼木藏香制作技艺,尼木吞巴藏香制作技艺,fuzzy_exact_alias_unique,,1,尼木吞巴藏香制作技艺,0.8888888888888888,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
8693,7874.0,湖南省,岳阳市,传统戏剧,平江灯戏,平江花灯戏,fuzzy_exact_alias_unique,,1,平江花灯戏,0.8888888888888888,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
19289,18228.0,云南省,迪庆藏族自治州,民俗,傈僳族服饰,傈族服饰,fuzzy_ambiguous_assigned_first,,2,傈族服饰,0.8888888888888888,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
15324,14617.0,陕西省,渭南市,曲艺,韩城市秧歌,韩城秧歌,fuzzy_exact_alias_unique,,1,韩城秧歌,0.8888888888888888,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
10411,10186.0,江西省,南昌市,传统技艺,文港毛笔制作技艺,进贤文港毛笔制作技艺,fuzzy_exact_alias_unique,,1,进贤文港毛笔制作技艺,0.8888888888888888,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
7720,6713.0,黑龙江省,绥化市,传统戏剧,望奎皮影,望奎皮影戏,fuzzy_exact_alias_unique,,1,望奎皮影戏,0.8888888888888888,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
17022,3533.0,广西壮族自治区,河池市,传统技艺,壮族铜鼓铸造技艺,东兰壮族铜鼓铸造技艺,fuzzy_exact_alias_unique,,1,东兰壮族铜鼓铸造技艺,0.8888888888888888,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
14825,14302.0,山西省,太原市,传统医药,补肾通督汤制作技艺,补肾通警汤制作技艺,fuzzy_exact_alias_unique,,1,补肾通警汤制作技艺,0.8888888888888888,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
7719,6713.0,黑龙江省,绥化市,传统戏剧,望奎皮影,望奎皮影戏,fuzzy_exact_alias_unique,,1,望奎皮影戏,0.8888888888888888,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
3284,3244.0,广西壮族自治区,南宁市,传统技艺,大罗毛笔制作技艺,宾阳大罗毛笔制作技艺,fuzzy_exact_alias_unique,,1,宾阳大罗毛笔制作技艺,0.8888888888888888,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
7403,6813.0,黑龙江省,哈尔滨市,传统技艺,花园酒传统酿酒技艺,花园酒传统酿造技艺,fuzzy_exact_alias_unique,,1,花园酒传统酿造技艺,0.8888888888888888,same_project,False,"Manual semantic name review: spelling variant, shortened place prefix, parenthetical alias, or listed subproject under a broader project name."
